first,second,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
11,pos,[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]],[[95.  48.   1.5]]
11,distance,43.83206588788623,70.42948601260696,99.7622172969306,129.9915862661888,160.61211037776698,36.41771546926029,66.07051157664817,96.73417183188162,127.68246747302466,158.74901574498028,36.41771546926029,66.07051157664817,96.73417183188162,127.68246747302466,158.74901574498028,43.83206588788623,70.42948601260696,99.7622172969306,129.9915862661888,160.61211037776698
11,received_energy,-63.23589033219371,-70.82295997912306,-75.14404805162144,-76.22989136671916,-81.0715839671605,-67.46526122312561,-70.60519866057034,-74.75011665087571,-76.24348547401213,-79.63564825212549,-66.21828246616867,-70.65680814714294,-72.62440822611433,-74.88876465673985,-77.81108804338876,-63.93739733479545,-72.12287646856815,-74.78277352686058,-76.23435117204284,-81.82258911187066
11,Max_amplitude,4.682416146221096e-08,1.0949139995169981e-08,4.922435211001111e-09,2.7707032151804647e-09,1.7563457278325319e-09,5.224563459777026e-08,1.4090292498758332e-08,6.090599025507182e-09,3.307120418409909e-09,2.0482360641329382e-09,5.224563459777026e-08,1.4090292498758332e-08,6.090599025507182e-09,3.307120418409909e-09,2.0482360641329382e-09,4.682416146221096e-08,1.0949139995169981e-08,4.922435211001111e-09,2.7707032151804647e-09,1.7563457278325319e-09
11,mean_excess_delay,1.4631199999999997e-07,2.453249999999999e-07,3.484710000000001e-07,4.521250000000001e-07,5.559939999999999e-07,1.2147599999999997e-07,2.2038700000000008e-07,3.2267000000000007e-07,4.259019999999999e-07,5.295299999999998e-07,1.2147600000000002e-07,2.2038700000000005e-07,3.2267000000000007e-07,4.259019999999999e-07,5.2953e-07,1.4631199999999997e-07,2.453249999999998e-07,3.4847100000000013e-07,4.5212500000000003e-07,5.559939999999999e-07
11,delay_spread,2.6469779601696886e-23,5.293955920339377e-23,1.0587911840678754e-22,1.0587911840678754e-22,1.0587911840678754e-22,2.6469779601696886e-23,7.940933880509067e-23,5.293955920339377e-23,5.293955920339377e-23,1.0587911840678754e-22,2.6469779601696886e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,0.0,2.6469779601696886e-23,1.588186776101813e-22,1.5881867761018134e-22,5.293955920339377e-23,1.0587911840678754e-22
11,kurtosis,18.000000000000004,19.000000000000004,19.000000000000004,20.0,18.0,12.000000000000004,15.000000000000002,9.999999999999998,12.999999999999996,10.0,12.0,12.999999999999996,19.000000000000004,18.0,15.000000000000002,19.0,16.0,15.0,17.0,10.999999999999996
11,delay,[1.46312e-07],[2.45325e-07],[3.48471e-07],[4.52125e-07],[5.55994e-07],[1.21476e-07],[2.20387e-07],[3.2267e-07],[4.25902e-07],[5.2953e-07],[1.21476e-07],[2.20387e-07],[3.2267e-07],[4.25902e-07],[5.2953e-07],[1.46312e-07],[2.45325e-07],[3.48471e-07],[4.52125e-07],[5.55994e-07]
11,bias,[0.06153411],[3.16801399],[4.7790827],[5.64591373],[6.18608962],[0.02508453],[0.04558842],[0.06682817],[0.08813253],[0.10998426],[0.02508453],[0.04558842],[0.06682817],[0.08813253],[0.10998426],[0.06153411],[3.16801399],[4.7790827],[5.64591373],[6.18608962]
11,b_est,[2.815061],[11.108538],[2.709825],[22.085176],[15.67524],[18.060802],[2.9589496],[0.12533326],[8.646332],[10.395982],[0.38924927],[8.3902855],[7.5474906],[0.23566766],[0.699943],[13.254484],[12.380853],[0.41039604],[54.389256],[20.380507]
11,label,NLOS,LOS,LOS,LOS,LOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,NLOS,LOS,LOS,LOS,LOS,LOS
12,pos,[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]],[[95.  95.   1.5]]
12,distance,32.06633748964793,33.612683617943986,56.431374252272114,84.80750261621904,114.68761920974731,20.81465829649865,23.126013491304548,50.8871300035677,81.22384194311421,112.06359801469878,20.81465829649865,23.126013491304548,50.8871300035677,81.22384194311421,112.06359801469878,32.06633748964793,33.612683617943986,56.431374252272114,84.80750261621904,114.68761920974731
12,received_energy,-68.50741565767255,-65.40553604613643,-70.7897371007241,-73.12003560337104,-76.04791691355645,-60.51811077402364,-65.4124121272056,-70.25057624611269,-73.0951382733936,-75.56032477955821,-60.25564847832111,-65.37966948886415,-69.91628851761664,-71.4171831241098,-73.86471418254396,-68.50741565767255,-65.29066823692453,-71.49415552793286,-74.04128948482997,-76.22674097221702
12,Max_amplitude,2.090547350436289e-08,6.232036792873882e-08,9.419113033901615e-09,3.763656752489712e-09,2.1039238106635044e-09,1.7886691174396206e-07,1.418796174038479e-07,2.5026493757042496e-08,8.946228956604416e-09,4.406766189325368e-09,1.7886691174396206e-07,1.418796174038479e-07,2.5026493757042496e-08,8.946228956604416e-09,4.406766189325368e-09,2.090547350436289e-08,6.232036792873882e-08,9.419113033901615e-09,3.763656752489712e-09,2.1039238106635044e-09
12,mean_excess_delay,1.6780900000000004e-07,1.1212000000000004e-07,2.038729999999999e-07,3.0661499999999994e-07,5.159789999999999e-07,6.943019999999998e-08,7.713979999999999e-08,1.6974099999999993e-07,2.7093400000000006e-07,3.73804e-07,6.943019999999999e-08,7.713979999999998e-08,1.6974099999999993e-07,2.70934e-07,3.738040000000001e-07,1.6780900000000004e-07,1.1212000000000004e-07,2.0387299999999996e-07,3.0661499999999994e-07,5.159789999999999e-07
12,delay_spread,2.6469779601696886e-23,5.293955920339377e-23,7.940933880509067e-23,5.293955920339377e-23,1.0587911840678754e-22,1.3234889800848443e-23,0.0,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,0.0,1.3234889800848443e-23,5.293955920339377e-23,0.0,5.293955920339377e-23,2.6469779601696886e-23,5.293955920339377e-23,2.6469779601696886e-23,5.293955920339377e-23,1.0587911840678754e-22
12,kurtosis,10.999999999999998,13.0,16.0,24.999999999999996,30.999999999999993,15.000000000000002,0.0,10.999999999999996,0.0,20.0,16.0,7.000000000000001,13.000000000000002,21.0,25.0,10.999999999999998,14.0,15.000000000000002,20.0,24.999999999999996
